report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	off_road_description	related_non_motorist	collision_type	weather	light	traffic_control	driver_substance_abuse	non_motorist_substance_abuse	person_id	pedestrian_type	pedestrian_movement	pedestrian_actions	pedestrian_location	pedestrian_obeyed_traffic_signal	pedestrian_visibility	at_fault	injury_severity	safety_equipment	route_type	surface_condition
MCP32320023	210027194	Montgomery County Police	Injury Crash	2021-07-12T19:52:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	8FC592CC-0A0C-45A7-9E1E-97F6DA0499FD	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3218001R	210026879	Montgomery County Police	Injury Crash	2021-07-12T19:22:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	E792B15C-FBD7-42C9-8026-3E8111B9474F	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	UNKNOWN	SUSPECTED SERIOUS INJURY	NONE	Maryland (State)	DRY
MCP2917007Z	210026871	Montgomery County Police	Injury Crash	2021-07-12T18:23:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	FE165C69-95E3-42BA-894A-53B73B5C0E0D	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	WET
MCP32000034	210026823	Montgomery County Police	Injury Crash	2021-07-12T14:33:00.000	PARKING LOT OF 7-11 LOCATED AT 10524 CONNECTICUT AVE	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	9F6A388F-045B-4281-9F87-FC4E06759DA7	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3109005M	210026745	Montgomery County Police	Property Damage Crash	2021-07-12T06:50:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	UNKNOWN	924928E9-CD20-440F-B1C1-34DF4281138B	BICYCLIST	Cross/Enter at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	NO APPARENT INJURY	NONE	County	DRY
MCP285900B3	210026650	Montgomery County Police	Injury Crash	2021-07-11T12:50:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	7247BB92-0494-41A3-91B0-1FF41D9AAACB	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	MC/BIKE HELMET	Maryland (State)	DRY
DD56470012	210026656	Rockville Police Departme	Injury Crash	2021-07-11T12:15:00.000	SOUTHBOUND SIDE CROSS WALK OF 1647 ROCKVILLE PIKE	BICYCLIST	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	NONE DETECTED	09C95211-9088-482B-80A6-1FE788092B80	BICYCLIST	Cross/Enter at Intersection	OTHER	AT INTERSECTION MARKED CROSSWALK	OTHER	MIXED CLOTHING	UNKNOWN	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
HA2287000J	21001286	Maryland-National Capital	Injury Crash	2021-07-10T13:18:00.000	PARKING LOT	OTHER	OTHER	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	UNKNOWN	34595804-97B2-4465-8210-AE732B261433	OTHER	Push/Work on Vehicle	OTHER	OTHER	OTHER	OTHER	Yes	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP3201001X	210026522	Montgomery County Police	Injury Crash	2021-07-10T10:45:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	66D81C4C-268B-4C85-A892-23C0D82D71ED	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP28770093	210026368	Montgomery County Police	Injury Crash	2021-07-09T10:20:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION RIGHT TURN	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	1B026946-E7C2-4E6E-960F-847955F939B6	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	SHOULDER	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	Maryland (State)	DRY
DD56470010	210026355	Rockville Police Departme	Injury Crash	2021-07-09T03:45:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DARK NO LIGHTS	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	B4185304-6900-4964-B94A-0689FC1A8834	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	UNKNOWN
MCP29310055	210026292	Montgomery County Police	Injury Crash	2021-07-08T17:17:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	C9EDB24A-7EFE-4D33-859F-6E5CB828EFD2	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3225001M	210026298	Montgomery County Police	Injury Crash	2021-07-08T17:15:00.000	"116 UNIVERSITY BLVD W.
SILVER SPRING, MD"	PEDESTRIAN	OTHER	CLOUDY	DAYLIGHT	OTHER	UNKNOWN	NONE DETECTED	831D4C51-39FF-41B3-B3B0-A855DB9E0663	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3201001W	210025891	Montgomery County Police	Injury Crash	2021-07-06T10:19:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	STOP SIGN	UNKNOWN	UNKNOWN	1A336117-683D-489A-83DA-F4E42B51782B	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP2192003Y	210025523	Montgomery County Police	Injury Crash	2021-07-03T08:44:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLOUDY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	B646C7C6-CEF9-4C3C-967B-59A1255CD4CC	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP20550035	210025522	Montgomery County Police	Injury Crash	2021-07-03T08:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	A97DD103-02BC-44AA-90DA-50C4D5E41BAC	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	OTHER	No	SUSPECTED MINOR INJURY	NONE	Municipality	DRY
MCP31960023	210025450	Montgomery County Police	Injury Crash	2021-07-02T16:58:00.000	UNKNOWN	BICYCLIST	HEAD ON LEFT TURN	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	3A7CEABF-BC39-4371-B540-927C3826F434	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	County	UNKNOWN
MCP32580013	210025401	Montgomery County Police	Injury Crash	2021-07-02T12:39:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	2A1469EE-07C0-485C-84EC-5058E82DC486	BICYCLIST	Walking/Riding w/Traffic	OTHER	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	UNKNOWN	SUSPECTED MINOR INJURY	MC/BIKE HELMET	County	DRY
MCP2330002W	210025335	Montgomery County Police	Injury Crash	2021-07-01T21:06:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	UNKNOWN	4E1DA0C0-6453-4E6F-B7AF-BB10D8CC4F5F	PEDESTRIAN	Cross/Enter not at Intersection	DART DASH	OUTSIDE RIGHT OF WAY	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	WET
MCP2603003M	210025244	Montgomery County Police	Injury Crash	2021-07-01T12:29:00.000	PARKING LOT 803 RUSSELL AVENUE	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	38841B20-30C5-4B39-9CF7-C09E99C11D8D	PEDESTRIAN	OTHER	OTHER	OTHER	OTHER	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
DD5610006N	210025218	Rockville Police Departme	Injury Crash	2021-07-01T10:20:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	33319449-333E-497E-9508-F03B74E5C5EE	BICYCLIST	Cross/Enter not at Intersection	DART DASH	ON ROADWAY NOT AT CROSSWALK	OTHER	LIGHT CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3156001M	210025210	Montgomery County Police	Injury Crash	2021-07-01T09:13:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	FCB0E675-1449-4A7E-A8D6-48931FC5CAE3	PEDESTRIAN	Standing	OTHER	OTHER	OTHER	REFLECTIVE MATERIAL	No	SUSPECTED SERIOUS INJURY	REFLECTIVE CLOTHING	Maryland (State)	DRY
MCP3143002V	210024917	Montgomery County Police	Injury Crash	2021-06-29T12:00:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION SIDESWIPE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	43F9B8EB-5982-4E3E-948C-2091D6042200	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP158000DZ	210024895	Montgomery County Police	Injury Crash	2021-06-29T09:30:00.000	UNKNOWN	MACHINE OPERATOR/RIDER	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	39C04AD9-623B-4162-89D5-CA1DE4CF2240	MACHINE OPERATOR/RIDER	Walking/Riding against Traffic	OTHER	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Municipality	DRY
EJ78810016	210024873	Gaithersburg Police Depar	Injury Crash	2021-06-29T04:30:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DARK NO LIGHTS	NO CONTROLS	NONE DETECTED	NONE DETECTED	7B60B7C4-0EE0-41C1-8EED-5C057F59948F	BICYCLIST	Walking/Riding w/Traffic	NOT VISIBLE	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	OTHER	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3218001Q	210024842	Montgomery County Police	Injury Crash	2021-06-28T19:23:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	1C4DCAD5-CA1A-4396-975E-AD4D1952F454	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	IN BIKEWAY	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP2765005S	210024808	Montgomery County Police	Injury Crash	2021-06-28T16:15:00.000	PARKING LOT NEAREST 16220 FREDERICK AVE	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	75095143-7117-485A-BF93-A72DF51F5D08	PEDESTRIAN	Getting off/on Vehicle	OTHER	OTHER	NO PED. SIGNAL	LIGHT CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	OTHER	UNKNOWN
MCP3124004B	210024539	Montgomery County Police	Injury Crash	2021-06-26T15:50:00.000	11160 VEIRS MILL RD SILVER SPRING, MD 20902 // WHEATON MALL // PARKING LOT NEAR EXIT 6	PEDESTRIAN	SINGLE VEHICLE	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	A984F546-8546-4182-B84D-84A657E02C48	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP21070039	210024485	Montgomery County Police	Injury Crash	2021-06-26T09:09:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	0F2B82F9-E612-4714-87E5-73A19033D525	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	County	DRY
MCP32880013	210024347	Montgomery County Police	Injury Crash	2021-06-25T11:06:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	0C24A54A-41E6-4C06-9DD1-D83DF9232C9A	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	LIGHT CLOTHING	No	SUSPECTED SERIOUS INJURY	NONE	County	DRY
MCP2939005N	210024258	Montgomery County Police	Injury Crash	2021-06-24T18:18:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	UNKNOWN	B36504C3-A059-4F71-AAE2-B75E9FC37CEF	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	County	DRY
MCP2832006C	210024021	Montgomery County Police	Property Damage Crash	2021-06-23T12:45:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	CLEAR	DAYLIGHT	PERSON	NONE DETECTED	NONE DETECTED	1C21A60B-569A-4655-9AE0-D005E5B58278	BICYCLIST	Cross/Enter at Intersection	FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER	AT INTERSECTION MARKED CROSSWALK	PED. SIGNAL MALFUNCTION	REFLECTIVE MATERIAL	Yes	NO APPARENT INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP94420023	210025732	Montgomery County Police	Injury Crash	2021-06-23T07:00:00.000	PARKING LOT OF 19351 DUNBRIDGE WAY	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	6D99C991-8713-476D-856B-902B8AFA6F69	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP3228001Y	210023945	Montgomery County Police	Injury Crash	2021-06-22T20:19:00.000	UNKNOWN	OTHER CONVEYANCE	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	AAF5CCFB-A067-4D9F-B0C8-CD1B7BA29E7C	OTHER CONVEYANCE	Walking/Riding w/Traffic	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	LIGHT CLOTHING	Yes	SUSPECTED SERIOUS INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP3264001T	210023890	Montgomery County Police	Injury Crash	2021-06-22T14:23:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	246BE639-3A87-41C5-8B53-DEE5FAB281DD	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP31540029	210023699	Montgomery County Police	Injury Crash	2021-06-21T10:26:00.000	19228 CIRCLE GATE DRIVE, GERMANTOWN, MD (APARTMENT COMPLEX T INTERSECTION)	OTHER CONVEYANCE	HEAD ON LEFT TURN	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	38C9C4C4-4FA8-4889-BB43-6042E6E614D6	OTHER CONVEYANCE	OTHER	NO IMPROPER ACTIONS	AT INTERSECTION BUT NO CROSSWALK	OTHER	OTHER	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2651004G	210023683	Montgomery County Police	Injury Crash	2021-06-21T08:50:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	ACBE08AB-CCDF-4E9E-A1E3-7F1F5824869D	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	County	DRY
DD5610006L	210023496	Rockville Police Departme	Injury Crash	2021-06-19T13:56:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	0A0A8174-EA8F-4D00-9960-67BDEE601D05	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	UNKNOWN	POSSIBLE INJURY	NONE	Municipality	DRY
MCP2968003Q	210023331	Montgomery County Police	Injury Crash	2021-06-18T10:40:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	STOP SIGN	UNKNOWN	UNKNOWN	CC3CF0EC-7CC9-4CEA-9E54-BAF79E538735	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP3005005R	210023152	Montgomery County Police	Injury Crash	2021-06-17T11:18:00.000	UNKNOWN	OTHER	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	CCDC043E-939B-48BF-BE69-4C3E39BB66E9	OTHER	Cross/Enter at Intersection	DART DASH	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
EJ7851006H	210023045	Gaithersburg Police Depar	Injury Crash	2021-06-16T16:40:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION SIDESWIPE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	EBCB32B6-FDAD-41DE-B4E8-B719415E1E72	BICYCLIST	Cross/Enter at Intersection	INATTENTIVE	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3161002T	210023041	Montgomery County Police	Injury Crash	2021-06-16T16:30:00.000	3745 UNIVERSITY BLVD W	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	5999CFEB-6A66-4586-A221-B9F353C5DE21	BICYCLIST	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP32870016	210022932	Montgomery County Police	Injury Crash	2021-06-15T20:58:00.000	PARKING LOT OF 12029 GEORGIA AVE	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	OTHER	UNKNOWN	UNKNOWN	D652DBDD-1B5E-4734-BFF4-8E9E84CD7B5D	PEDESTRIAN	OTHER	NOT VISIBLE	MEDIAN	OTHER	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP28660071	210022763	Montgomery County Police	Injury Crash	2021-06-14T18:15:00.000	BETHESDA METRO CENTER BUS LOOP, 3 BETHESDA METRO CENTER, BETHESDA, MD, 20814	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	6BE6567C-7F32-45B8-944B-F1748AD443D4	PEDESTRIAN	Getting off/on Vehicle	NO IMPROPER ACTIONS	CURB	OTHER	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP1182003N	210022862	Montgomery County Police	Injury Crash	2021-06-14T08:39:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	PERSON	UNKNOWN	UNKNOWN	6BC4AB50-225A-48EC-ABF1-40B326E810FB	PEDESTRIAN	Other Working	NO IMPROPER ACTIONS	DRIVEWAY ACCESS MARKED CROSSWALK	OTHER	REFLECTIVE MATERIAL	No	SUSPECTED MINOR INJURY	REFLECTIVE CLOTHING	County	DRY
MCP28770090	210022660	Montgomery County Police	Injury Crash	2021-06-14T08:23:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	FD4BB509-886F-48E5-A1C0-5BFBF0A7917A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP31210046	210022605	Montgomery County Police	Property Damage Crash	2021-06-13T18:10:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLOUDY	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	160A00D5-6A33-4B2B-B6FF-1C4F17F2D5E1	BICYCLIST	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	AT INTERSECTION BUT NO CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	NO APPARENT INJURY	MC/BIKE HELMET	County	DRY
MCP31540027	210022474	Montgomery County Police	Injury Crash	2021-06-12T14:48:00.000	UNKNOWN	BICYCLIST	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	AB06485C-8627-4B88-A8E9-61259B3D5C53	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	SHOULDER	OTHER	MIXED CLOTHING	No	SUSPECTED SERIOUS INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP2008008H	210022161	Montgomery County Police	Injury Crash	2021-06-10T16:00:00.000	UNKNOWN	BICYCLIST	OTHER	CLOUDY	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	453131AE-8AE1-4BE1-8EEB-9F5B02F56033	BICYCLIST	Cross/Enter at Intersection	DART DASH	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP3268000X	210022095	Montgomery County Police	Injury Crash	2021-06-10T10:17:00.000	UNKNOWN	OTHER	STRAIGHT MOVEMENT ANGLE	OTHER	DAYLIGHT	OTHER	UNKNOWN	NONE DETECTED	03CE9803-DCB5-4F31-9806-A1E5951CFCA1	OTHER	Cross/Enter at Intersection	FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER	MEDIAN	DISOBEYED PED. SIGNAL	OTHER	Yes	SUSPECTED SERIOUS INJURY	NONE	Maryland (State)	DRY
MCP271700VD	210021992	Montgomery County Police	Injury Crash	2021-06-09T17:00:00.000	UNKNOWN	OTHER CONVEYANCE	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	975B4082-8BE7-4B51-939D-130394720717	OTHER CONVEYANCE	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED SERIOUS INJURY	MC/BIKE HELMET	County	DRY
EJ7873003Y	210021964	Gaithersburg Police Depar	Property Damage Crash	2021-06-09T14:15:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	YIELD SIGN	UNKNOWN	NONE DETECTED	EC126DDF-47F4-4111-A3E8-07A1D392E8AB	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	NO APPARENT INJURY	MC/BIKE HELMET	Municipality	DRY
MCP3037003H	210021829	Montgomery County Police	Injury Crash	2021-06-08T16:17:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	CA971408-4A1A-482B-898F-61AEEDAD3543	BICYCLIST	Cross/Enter not at Intersection	INATTENTIVE	OTHER	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	OTHER	DRY
MCP243600CM	210021739	Montgomery County Police	Injury Crash	2021-06-08T07:30:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	2284F3AD-1EEE-4DA5-A3B2-E59FF816D89A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	US (State)	DRY
MCP15650043	210021667	Montgomery County Police	Injury Crash	2021-06-07T16:46:00.000	PARKING LOT OF 13490 NEW HAMPSHIRE AVE, GIANT FOODS	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	09EB89CE-53A7-4927-971B-ECB35D0A5620	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
